216337793868103680	Durv	1.00	0.00
189920974261583872	The old razzmataz	0.05	0.90	b,0.90,1.00
121800126900469762	FatalBagel	1.00	0.00
111327745430016000	jamespar	0.02	0.90	b,0.90,1.04
398347810027864065	GlenZima	1.00	0.00
240246677762605056	brentorious	1.00	0.00
286716632225808384	Cawb07	1.00	0.00
358401124962926594	TizzTime	1.00	0.00
192697820875194368	Willy	1.00	0.00
259506763374526466	FantasticDeli	1.00	0.00
214923432125530112	Orphodoop (Agent_Butt)	1.00	0.00
228354784149635072	chuni	1.00	0.00
228669575200374784	meel	1.00	0.00
160178400357515264	Spark Byte	1.00	0.00
134013048724652032	Vexium	1.00	0.00
197569589842804736	j0mggggg	1.00	0.00
160922926126858249	U DO NOT KNOW THE WAY	1.00	0.00
109820515996151808	Lord and Savior	1.00	0.00
160893445223874562	MarihuanaKaos	1.00	0.00
250121407545999361	Alexander	1.00	0.00
380488703732088842	mark2105	1.00	0.00
204363336329068545	Leyline	1.00	0.00
160807756595593216	Carnivurus	1.00	0.00
165291670982623234	Llama Mama	1.00	0.00
196151494695714816	Kevin	1.00	0.00
111325391360151552	kholdblooded	1.00	0.00
